Job Title,pjdesc
Backend Developer,"telecommute location: remote, work from anywhere you will have ownership of developing and maintaining some of our backend services including reports, payments and operations tools that manage our product and logistics worldwide. you will work on everything from customer-facing web and mobile applications using cutting-edge open source frameworks to highly-available restful services and back-end systems. skills json mobile app development rest api ruby web development software development aws google cloud communication skills postgresql go robust backend java responsibilities and duties you will fit well in the toggl backend team if you are passionate about technology and have experience programming in go. knowledge of technologies like ruby, postgresql, rest, json and google cloud infrastructure will help you get going from day one. you will be a perfect match with our team if you love collaborating with people from all disciplines to solve complex problems, always want to learn new skills and take ownership of your work. about the team toggl is a distributed team of 75+ people working remotely from 30 countries. we take pride in our professional, learning-oriented and friendly working environment that values work-life balance and constantly doing our best in every aspect of our work. you can work from anywhere in the world, because we know great people do awesome work wherever they are. every few months we travel to meet up somewhere in the world and spend some quality time together. our business is profitable with a healthy margin and we are built with no outside investments, so you can count on a stable working environment. some benefits freedom to choose when and where you work from. 24 days of paid time off a year, plus your local holidays. 2 company retreats and 2 team meetups a year (expenses covered) for team-building. laptop and a 2,000 budget to set up your home office. reimbursement for co-working space rent or internet service at home. opportunities to attend trainings, workshops or conferences. monthly reimbursement for gym membership, massage and other things to improve your health. support for buying a phone, eyeglasses or tools you need for doing your best work. required experience and qualifications experience: 1 - 5 years in programming in go( required ) graduation: any degree( preferred ) proficient in english( required )"
Machine Learning,"role: data analyst location: gurgaon, india groundtruth enables real-time, location-based marketing, without the guesswork. working with groundtruth, marketers can deliver more relevant, personalized messages to the right people they want to reach, based on the real places they visit every day. each month, groundtruths patented location platform helps marketers reach over 500 million people globally via more than 100 thousand popular mobile applications. with groundtruth, marketers can say goodbye to assumptive marketing and reach the right people at real places in real-time with precision, relevance and confidence. learn more: www.groundtruth.com this will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture and gain experience in the usage of location data to drive businesses. working in a dynamic start up environment will give you significant opportunities for growth within the organization. a successful applicant will be passionate about technology and developing a deep understanding of human behavior in the real world. they would also have excellent communication skills, be able to synthesize and present complex information and be a fast learner. you will: become an expert in location marketing understand the business requirement for analytics and formulate approach by identifying key datasets, various assumptions, methodology to be used present the analysis in crisp and clear manner for solving location data anomalies/issues analyse trends to identify discrepancies to point out reasons for the changes in observed patterns provide feedback and share knowledge with the supply & data partnerships and product team to drive improvement and enhancements define proper measurable metrics/variables for analyzing a business problem and provide actionable recommendations minimum qualifications: ba/bsc/b.e./btech degree from tier 1 college in computer science, statistics, mathematics, economics or related fields 1-2 years of experience in working with data and conducting statistical and/or numerical analysis ability to write sql code and familiarity with r/python, linux shell commands be willing and able to quickly learn about new businesses, database technologies and analysis techniques ability to tell a good story and support it with numbers and visuals strong oral and written communication preferred qualifications: experience working with large datasets experience with aws analytics infrastructure (redshift, s3, athena, boto3) experience building analytics applications leveraging r, python, tableau, looker or other experience in geo-spatial analysis with postgis, qgis"
Software Engineer,"associate principal engineer (project ceo) 9 12 years of experience about nagarro: nagarro helps clients transform, adapt, and build new ways into the future through an entrepreneurial, agile, and caring mindset. we excel at digital product engineering and deliver on our promise of thinking breakthroughs. today, we are 8,400+ experts across 25 countries, forming a nation of nagarrians, ready to help our customers succeed. at nagarro, you can look forward to a work culture that is dynamic and non-hierarchical. you will be given opportunities to add value to challenging and complex assignments, while collaborating with world class technologists. the versatile environment here, helps foster fresh perspectives and enables you to deliver high quality code. there will be ample opportunities provided for skill upgradation to accelerate your professional and personal development. what makes you a good fit for this role: strong background in project management, consulting, cross-group collaboration skills and development background, preferably from java/dot net/hybris ability to convey a message in a simple and structured manner, customized to the audience and to the mode of communication. fluent verbal and written language skills. experience in managing complex and highly technical development projects. experience with technical leadership and end to end development. overall experience of 9-12 years with at least 3 years of project management experience. strong understanding of technology and the ability to deep dive into a technology problem. ability to multitask and manage multiple projects simultaneously in a globally distributed delivery setup. strong understanding of agile metrics and processes. be / btech / me / mtech / mca / mba preferably from a top university. what are your responsibilities: ensuring client satisfaction above all else. showcasing a consulting mindset by acting as a solution provider rather than an order taker. identifying project/service stakeholders at an early stage and working with them to ensure that the deliverables are in sync with the benefits defined in the business case. planning, organizing and monitoring the project in order to deliver high quality business solutions. defining the scope of the project/service, managing goals, risks, issues and resources throughout the project lifecycle. mentoring and managing team members, by giving constant on the job feedback, and by providing guidance. ensuring project quality of work meets defined governance, process standards and best practices. reporting the status of all key metrics (risk, scope, schedule, quality, customer satisfaction) from inception through closure assisting the account management team in responding to new project requests. identifying opportunities in the current engagement to cross sell or up sell nagarros offerings."
Wordpress Developer,"experience: 3-5 yrs openings: 3 brief about the position / role: we are looking for experienced wordpress developer. requirements: mins 3 years experience creating new sites in wordpress excellent experience working with sass css, php, html, jquery, javascript excellent knowledge to customize responsive theme. experience creating custom wordpress themes and plugins. should have a good sense of ui design. good woocommerce experience skills: wordpress, html, css, php, sass css, front end, woocommerce, javascript, jquery, ui design, wordpress developer."
PHP Developer,"roles and responsibilities: * you will be responsible for developing and coding all server-side logic. you will also be required to maintain the central database and respond to requests from front-end developers. to ensure success as a php developer, you should have in-depth knowledge of object-oriented php programming, understanding of mvc designs, and working knowledge of front-end technologies including html5, javascript, and css3 . ultimately, a top-level php developer can design and build efficient php modules while seamlessly integrating front-end technologies. develop expertise on jquery, php, mysql, apache, linux & other frameworks. the candidate would be responsible for analyzing requirements, estimating, developing, testing, deploying, and maintaining the codebase. the candidate is expected to gain expertise on jquery, php, mysql, apache, linux & other frameworks as required. job requirements* minimum 2 to 3 years experience preferably in web development using php. hands-on experience of php 5, mysql,html-5,css, jquery, javascript is necessary. candidate should have a good understanding of object-oriented programming concepts. strong hands-on experience with contemporary web technologies, web standards & protocols, browser internals, and oop's concepts. prior knowledge of symphony mvc or any other php mvc framework, zend,, apache, linux is desirable good knowledge in core php and mysql strong in css, javascript, ajax, jquery and jso work with a team to manage, optimize and our custom built saas application job type: full-time work remotely: no"
Flutter Developer,. looking for mobile application developer with strong hands on experience in flutter dart development. . minimum 3 years to 15 years experience in it industry . strong experience into mobile application development (ios or android) 00-8.00 years
Wordpress Developer,"location: * amanora chambers, magarpatta, hadapsar, pune office time: day shift (need to be available during usa hours to talk to clients)* \*\* job summary* business promoted is a subsidiary of usa based leading digital marketing company, inetapplication llc. we are google's official partner for their flagship product - google ads. headquarted in florida, usa, business promoted is expanding its india operations at our new office in amanora chambers, hadapsar, pune. more information can be found at www.businesspromoted.com \*\* responsibilities and duties* we need a professional web designer with experience in wordpress to take over the *graphic and user interface design* of our websites. were looking for a candidate who has created and maintained functional, attractive websites for companies. we prefer experience in clean, modern, responsive websites with excellent navigational structures and detailed linking. who is the right person for this position?*if you can design clean and sleek website pages and landing pages for a business in word press using themes and plugins, a design that has very high conversion rate of website visitors in to clients then you are the right person for this position !!! deliverables: * as a website designer, you will be responsible for following deliverables: create attractive & functional websites that are responsive load within 3 seconds (google page speed insights, gtmetrix, pingdom) create relevant graphics, images or media elements on website pages to improve conversions qualification & experience: * minimum of 2 years of web development experience with a good technical understanding of wordpress, seo, websites, and cms platforms experience of responsive web design and progressive enhancement with the ability to troubleshoot and resolve cross-device and browser issues has worked on projects all the way from inception to pushing to production experienced in php, html, css and js development, ideally with considerable experience working with complex wordpress projects knows how to work with third-party wordpress themes as well as creating their own ability to understand essential tools such as ftp, http etc experience integrating third-party api solid understanding of technical on-site seo solid understanding of web security familiarity with dns configurations, cdns and ssl good eye for design user-friendly web pages strong conceptual skills, develop visual workflows and concepts to create engaging webpages must work well under pressure and tight deadline ability to work in a fast-paced environment, deal with uncertainty, and manage multiple projects at a time job types: full-time, part-time pay: 20,000.00 - 30,000.00 per month benefits: provident fund (pf) paid leaves / leave encashment flexible work hours shift allowance industry: software development"
Flutter Developer,"we are product based it company and looking for immediate joiners. interested candidates please mention your current ctc and expected ctc and joining date in your cv job types: full-time, walk-in salary: 30,000.00 - 40,000.00 per month schedule: day shift experience: software development: 1 year (preferred) work: 1 year (preferred) total work: 1 year (preferred) education: bachelor's (preferred)"
Machine Learning,"job description we are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. responsibilities selecting features, building and optimizing classifiers using machine learning techniques. data mining using state-of-the-art methods. extending companys data with third party sources of information when needed. enhancing data collection procedures to include information that is relevant for building analytic systems. processing, cleansing, and verifying the integrity of data used for analysis. doing ad-hoc analysis and presenting results in a clear manner. creating automated anomaly detection systems and constant tracking of its performance. required skills excellent understanding of machine learning techniques and algorithms, such as k-nn, naive bayes, svm, decision forests, etc. experience with common data science toolkits, such as r, perl, python, sparkml, weka, numpy, matlab, etc. experience with data visualization tools, such as d3.js, ggplot, etc. proficiency in using query languages such as sql, hive, pig. experience with nosql databases, such as mongodb, cassandra, hbase. experience with hadoop or similar distributed computing and storage platforms. good applied statistics skills, such as distributions, statistical testing, regression, etc. good scripting and programming skills. exceptional analytical abilities,creativity and attention to details. good organizational and problem solving skills. good team player who is a self-starter and well organized. strong oral and written communication skills. required education graduate degree in math, statistics, computer science, or other quantitative discipline. please email your resume to careers@gtpltech.com"
Django Developer,"experience: 0-3 years notice period: 0-30 days mandatory skill set: front end: react js & javascript backend: python-django/ flask responsibilities responsible for design and architecture of functional prototypes and production ready systems uses open source frameworks as appropriate django preferred develops python and javascript code as necessary python development to support middleware for rest api communicate technical concepts with trade offs, risks, and benefits evaluate and resolve product related issues requirements demonstrable experience writing clean, thoughtfully crafted python or php that scales strong understanding of javascript, html, and css3 good understanding of rest api's and experience in building them. experience on asynchronous request handling, partial page updates, and ajax proficient understanding of cross browser compatibility issues and ways to work around such issues proficient understanding of code versioning tools, such as git / mercurial / svn good understanding of browser rendering behaviour and performance"
Software Engineer,"amazon's employee services tech (es tech) team is building an hr contact management solution on the salesforce service cloud. we enable employee self-service by providing simple, intuitive tools across devices using communities, lightning, and other salesforce next generation technologies. we implement the overall self-service strategy and improve user experience for our employees and partners by integrating it with other amazon systems and platforms including: telephony, content management system (cms), and analytics to ensure a consistent global experience. a software design engineer in test (sdet) at amazon is a developer with the primary responsibility of writing frameworks and tools to test products. it is a very unique and challenging role and provides immense opportunity to design and develop wide-reaching tools. it combines the ""building"" aspect of software design engineering with the ""breaking"" aspect of software test engineering. youll be writing code that automatically verifies that if anything does go wrong, youre code will tell us. our sdets work directly with both software development engineers and quality assurance engineers to understand project features, review technical designs, and implement automated test tools that help deliver quality features with efficiency. our sdets understand customer usage models and are able to develop test plans and test cases that approximate real-world environments and scenarios. we are looking for a sdet to join our team. in this role, youll work closely with qa engineers and development teams to develop test automation frameworks for functional and non-functional qa and automate infrastructure management process . youll navigate through complex code to better understand features and to ensure our development engineers continue to deliver quality software. youll test code manually and with automated tools using black box, gray box, and white box testing techniques. you will write automated tests using java or proprietary test scripts for automated tools and will be responsible for driving the software development process toward quality-centric methodologies. responsibilities design and build the automated test frameworks and test suites for use in development and testing cycles design and build automated systems for infrastructure management process. utilize innovative test technologies to develop a product's testing strategy participating in design and code inspections. perform functional testing, the scope of which will encompass all functionality of services to as a prequel to automation a successful candidate must have a solid history of delivering results, obsession with quality, be detail oriented, a team player, and have the ability to work in a fast-paced start-up like environment basic qualifications a bachelor's degree in computer science, software engineering or a related field. 2+ yrs of software development experience in one or more general purpose programming languages java, python, or javascript 2+ yrs of experience with major time designing and building automation frameworks. working knowledge of common automation frameworks such as junit or testng strong understanding of computer science fundamentals and data structures strong analytical and problem solving skills demonstrable experience in writing clean code quickly understanding of qa methodologies, life cycle and processes experience in writing testing frameworks and automation tools is preferable preferred qualifications knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations. experience in communicating with users, other technical teams, and management to collect requirements, evaluate alternatives and develop processes and tools as needed to support the organization. knowledge of industry standard test automation tools and experience in developing product test harnesses and instrumenting products to gather test results experience automating the validation of modern user interfaces and messaging infrastructures. experience with evaluating and integrating open source and in house developed tool-sets. good communication skills and the ability to generate and communicate meaningful development metrics comfortable working in a fast paced, highly collaborative, dynamic work environment. amazon is an equal opportunity-affirmative action employer - female/minority/disability/veteran/gender identity/sexual orientation."
Wordpress Developer,"good knowledge of the e-commerce business model and functionalities. hands-on knowledge in wordpress, woocommerce knowledge in paypal /authorized.net / razorpay / stripe integration ability to change or modify the wp plugin api integration knowledge in php/mysql, javascript / jquery, html, css knowledge in advanced custom fields, custom post types, wp query wordpress security expertise in woocomerce plugins, theme development, custom extensions, customizing wordpress modules and integration expected start date: 2/11/2020 job type: full-time salary: 15,000.00 - 20,000.00 per month schedule: morning shift supplemental pay: performance bonus yearly bonus experience: wordpress: 1 year (required) woocommerce: 1 year (preferred) total work: 2 years (preferred) education: bachelor's (preferred) work remotely: temporarily due to covid-19"
Machine Learning,"understanding business objectives and developing models that help to achieve them, along with metrics to track their progress managing available resources such as hardware, data, and personnel so that deadlines are met analyzing the ml algorithms that could be used to solve a given problem and ranking them by their success probability exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world verifying data quality, and/or ensuring it via data cleaning supervising the data acquisition process if more data is needed finding available datasets online that could be used for training defining validation strategies defining the preprocessing or feature engineering to be done on a given dataset defining data augmentation pipelines training models and tuning their hyper-parameters analyzing the errors of the model and designing strategies to overcome them deploying models to production contract length: 6 months job types: full-time, contract salary: 18,471.00 - 45,871.00 per month schedule: day shift experience: machine learning: 1 year (preferred) work: 1 year (preferred) total work: 1 year (preferred) education: secondary(10th pass) (preferred)"
Node js developer,"are you aspiring *node.js developer* looking for an opportunity to work in a great team and advance your skills and career? if you are an analytical problem solver with a strong node.js knowledge and a passion for team work and innovation, we have the perfect job for you! we are looking for a node.js developer to join our fun & energetic team duties and responsibilities* work as part of a team developing applications and services using agile development methods contribute to team and organizational improvements in process and infrastructure build customer-facing ui and back-end services for payment processing administration and management code, teste and operate node.js based services effectively use tools and ingenuity to identify and fix defects before they become a problem requirements and qualifications* in depth knowledge of node.js hands on experience with html, css, electronjs and ajax development experience designing object oriented javascript and svg applicable knowledge of web libraries and frameworks such as angularjs, polymer, and closure familiarity with the whole web stack, including protocols and web server optimization techniques strong analytical skills and problem solving aptitude attention to details job type: full-time salary: 120,000.00 - 300,000.00 per year experience: software development: 1 year (preferred) work: 1 year (preferred) total work: 1 year (preferred) java: 1 year (preferred) education: bachelor's (required)"
Node js developer,"location: noidaqualification: bachelors degree/ relevant certificationkey responsibilities: responsible for managing the interchange of data between the server and the users. development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. responsible for integrating the front-end elements built by your co-workers into the application basic understanding of front-end technologies is necessary as well. strong proficiency with javascript knowledge of node.js core and frameworks express, strongloop, koa, hapi etc. understanding the nature of asynchronous programming and its quirks and workarounds good understanding of server-side templating languages good understanding of server-side css preprocessors basic understanding of front-end technologies, such as html5, and css3 understanding accessibility and security compliance understanding differences between multiple delivery platforms, such as mobile vs. desktop creating database schemas that represent and support business processes implementing automated testing platforms and unit tests proficient understanding of code versioning tools, such as git.technical skills: expert knowledge of key web technologies as html5, css3, expect in javascript / ajax, nodejs, react. expert knowledge of oo analysis and design, expert on design patterns and frameworks as nodejs, react. knowledge of agile methodologies (scrum).additional info: self-motivation to work independently and strong work ethic. ability to work in a team, and adapt to new and evolving processes. flexibility with shifts & week offs is a must. flexibility and adaptable deep experience with agilesend your cv and relevant documents to careers@universityliving.com with the job title in the subject line to be considered."
JavaScript Developer,"about veritas veritas solves what no one else can. with an industry-leading product portfolio, we offer proven, modern, and integrated technology that brings together availability, protection, and insights. our veritas enterprise data services platform addresses current and future data issues end-to-end keeping mission-critical workloads highly available, protecting data everywhere, and providing insights to optimize costs and maintain regulatory readiness. veritas supports 500+ data sources, 150+ storage targets, 50+ clouds, and any deployment model imaginable. we serve 99% of the fortune 100, 90% of the fortune 500, and are the market leader in software-defined storage, data protection, and archiving. veritas it manages the companys infrastructure, systems, processes, and security utilizing the latest technology platforms, and is relentlessly focused on driving growth in the business by delivering value to both employees and customers. about veritas veritas' vision is to enable organizations to thrive in this new world of digital business. did you know that the international data corporation (idc) predicts that data will double every 2 years, reaching 44 zetabytes by 2020? that's more bytes than gallons of water in the ocean and an exponentially growing problem for businesses. veritas helps organizations harness the power of their data & turn it into actionable insights. we believe information is everything! data is an organization's digital currency; a critical business asset that is growing in value. we are the only company that provides a data management platform to address the core challenge of accessing, managing, and analyzing all of their data, no matter where it is, in real time - allowing organizations to truly maximize the value of their data. veritas is currently looking for motivated individuals who not only do but are also leaders who influence change and make a difference. the team is always looking for passionate, dedicated individuals who are self-motivated in their work and careers. what you will be doing: veritas it vast is looking for a hands on experienced oracle cpq senior developer and cpq system analyst. candidate must have oracle cpq ( bmi ) large project implementation experience. the individual must have strong oracle cpq ( bmi ) technical design and development experience to analyze the business requirement and provide technical solution. the individual must have experience with oracle cpq ( bmi ) system architecture, hands on development experience in bml script, java script and sql. integration experience with oracle cx and erp system is essential. what skills, experience and education you need as a team member to succeed: must have 7 years of it experience in design , development & implementation must have- javascript html css optional- experience in implementing large scale oracle cpq projects (optional) 4+ years of experience in oracle cpq (bmi) administration, configuration , deployment & migration 4+ years of demonstrated development experience in oracle cpq ( bmi ) using bml script, java script have worked in integration project with crm & erp applications experience with oracle db and sql is essential should have strong cpq functional and crm domain knowledge proficient with oral communication skill & writing skill be or b.tech in computer science or related major. at veritas, we care about the causes close to your heart and enable you to volunteer, donate, and do good. we also value uniqueness and know that a more diverse and inclusive workforce makes a winning team, so come as you are! interested? then apply and find out more about #teamvtas!"
Flutter Developer,"im #hiringnow for an android flutter developer at #theverticals job type: freelancer experience: 1-5years job description: responsibilities: designing and developing apps writing clean code define database requirements and create and integrate database with app participating in development life-cycle networking and integrating third-party apis. working with a version control system (i.e., git) fixing bugs investigating technologies to make the development faster following new trends in development required: knowledge of sql strong knowledge of networking experience in programming languages for mobile development kotlin or swift knowledge of dart programming language, understanding of flutter framework experience in android or ios mobile development services translating ui/ux designs into code advanced debugging/testing/optimization part-time hours: 40 per week job types: full-time, part-time, temporary salary: up to 20,000.00 per month schedule: morning shift experience: android(flutter): 1 year (required)"
Node js developer,"a typical day at hcue - roles & responsibilities participate in the entire development lifecycle, from planning through implementation, documentation, testing, and deployment, all the way to monitoring. produce high quality, maintainable code with great test coverage participate in architectural decisions for any project. to push our systems and services to be high performance and scalability. collaborating with clients, team members and management translate business requirements into technical requirements. troubleshoot and debug applications. deliver projects on time. what we are looking for - skills & qualifications looking for candidates with strong experience in node js , vuejs/react js/angular js html,css3 with micro services architecture. atleast 2+ years of experience in nodejs good experience in agile software development methodology. hands on with postgre sql/mongodb and orm is highly desirable. background and knowledge on redis, kibana, kafka and elasticsearch experience with linux os, docker, kubernetes solid knowledge of oop software concepts, design patterns, and best practices solid knowledge of es6 javascript and typescript and dialogflow a solid grounding in object oriented programming & design and implementation of n-tier application good experience in tdd/bdd,unit tests,integration testing , prefers high quality code than quick code. solid understanding of web technologies json,http,restful apis. familiar with aws java script sdks such as s#,iam. aws certifies developer preferred. please mail us your resume to careers@myhcue.com range of perks quarterly team outings yearly team offsite laptop purchase program free snacks & weekend lunch flexible leave policy flexible work hours alternate weekend offs fun activities"
Wordpress Developer,"urgently looking for wordpress developer experience: minimum 2 years in wordpress company: weavers web solutions pvt ltd weavers web solutions private limited; established in the year 2010; has grown from a small web design and development company to a company that is overflowing with talented and dedicated individuals. today we stand strong with a team of 85+ individuals who ensure to practice what they preachdeliver quality work always! description: creating the website architecture. designing and managing the website back-end including database and server integration. generating wordpress themes and plugins. conducting website performance tests. troubleshooting content issues. conducting wordpress training with the client. monitoring the performance of the live website. requirement: bachelors degree in computer science or a similar field. proven work experience as a wordpress developer for min 2 years. strong knowledge on php knowledge of front-end technologies including css3, javascript, html5, and jquery. knowledge of code versioning tools including git, mercurial, and svn. experience working with debugging tools such as chrome inspector and firebug. good understanding of website architecture and aesthetics. good communication skills. salary: negotiable depend on last drawn/current location: kolkata job type: full-time salary: up to 400,000.00 per year schedule: day shift experience: wordpress: 1 year (preferred) work: 1 year (preferred) total work: 1 year (preferred) education: bachelor's (preferred) work remotely: no"
DevOps Engineer,"position purpose: provide support, automation, and infrastructure expertise for all aspects of the johnson controls iot saas offerings. expertise will be centered on cloud (particularly, but not limited to azure) environments, with specific emphasis on linux, kubernetes, security, iso, soc2 and ci/cd pipeline automation. what you will do the senior devops engineer is responsible for the automation and configuration management of the platforms infrastructure and provides stable environments for delivery of quality. they will work as part of a team continuously delivering and deploying to customers. the senior devops engineer is responsible for the automation of all manual tasks for the building and deployment of both code and data in order to enable continuous integration and continuous deployment frameworks. the senior devops engineer is also tasked with the creation of software deployment strategies that allow team members to successfully deploy sites/software in any environment. they are also responsible for the updating of configuration management tools, code, and modules for the purpose of streamlining implementation and supportability. the senior devops engineer is further tasked with implementing monitoring and logging solutions that identify both system bottlenecks and production issues. they will further identify and implement data storage schemas such as clustering in order to maximize performance. how you will do it a candidate for this position must have had at least 5+ years of working experience managing infrastructure, 2+ of this as a devops engineer. the candidate must also have had experience automating the managing of large-scale infrastructure and have significant familiarity with chef, ansible, or similar configuration management tools. the candidate will have had vast experience in systems automation, orchestration, deployment, and implementation. he will have had excellent in-depth experience using docker, kubernetes/openshift, jenkins and linux as well as experience configuring and automating monitoring tools. the candidate must similarly demonstrate experience in software development and experience working with tools and languages such as .net core , angular, java ,git, python, shell scripting, java, and sql. a suitable candidate will further demonstrate experience in scaling distributed data systems and 2+ years experience in building, maintaining and operating production systems (> 99.5% sla) on microsoft azure(preferred) ,gcp or aws what we look for required qualifications education & experience bs in computer science or equivalent work experience. work experience significantly more important than education 3-5 years of overall industry experience working on enterprise based it projects the senior devops engineer will also need good communication skills in his intensely collaborative role, leading to more efficient execution of collaborative duties across the engineering department and the business ability to build and improve ci/cd pipelines, working tightly with global software engineering teams to create a standardized set of solutions that continues to improve our ability to deliver technology products to the customers faster, more often, and with very high quality. required 2+ years of experience with docker and any one of container management/ container orchestration tools like kubernetes, openshift ,docker swarm or apache mesos including associated sub-components i.e. docker registry, docker hub and configuration of custom controllers etc. 2+ years experience in building, maintaining and operating production systems (> 99.5% sla) on aws, gcm or azure(preferred) 2+ years of configuration management experience using either chef, puppet or ansible experience in writing automation scripts in powershell, shell and/or python scripting to automate complex tasks subject matter expert for the organization on devops and the technology infrastructure foundation specifically this will be expertise around cloud, instance level security, automation and monitoring tools, and basic infrastructure / networking interaction. experience on continuous improvement around automation tools and processes for infrastructure as code specifically terraform, chef, sonar cube, frog artifactory, jenkins , consul and vault and other tools as needed. experience in implement, maintain, and improve continuous integration, testing, delivery and deployment environments experience in deploying and maintaining logging and monitoring systems like application insights, dynatrace, elk (elastic search, logstash & kibana) and grafana. experience in deploying and maintaining message queue systems like rabbitmq, hivemq, etc. candidate should have working experience on backup & recovery , disaster recovery (dr) and high availability (ha) excellent english communication and inter-personal skills, including the ability to communicate difficult technical concepts in a straight-forward, simple manner familiar with agile methodology preferred understanding on standard networking concept such as dns, dhcp, subnets, load balancing, reverse proxy, nginx, firewall etc. knowledge on azure ,jenkins,kubernetes,nginx,consul, vault , git, package management skills/abilities: ability to solve problems quickly and completely good written and verbal communication skills excellent customer service skills to interface with both internal and external customers on a daily basis ability to work successfully both in a team environment and independently"
iOS Developer,"we are looking for an experienced ios developer to add to our team in ludhiana, punjab. proven 2+ years of experience developing and testing ios mobile applications using programming languages and technologies such as swift experience implementing solutions to consume and expose apis using modern frameworks, programming languages, and technologies collaborate with cross-functional teams to define, design, estimate, and ship new features work on bug fixing and improving application performance you'll have a chance to learn and improve your skills by contributing to the logistics of our ios application. salary and perks starting from 25,000 to 50000 per month (based on your experience and interview results ) working hours monday to friday 14 paid holidays plus 7 personal paid days off job type: full-time pay: 25,000.00 - 50,000.00 per month schedule: day shift monday to friday industry: software development work remotely: no"
Full Stack Developer,redfin revolutionizing $ 75 billion real estate industry use data beautiful software innovative design put customer first every step home-buying selling process get ready dive headfirst award-winning website mobile apps solving complex business problem highly visible customer-centric way value great work collaborative environment join team ! full stack developer owner engagement team responsible growing new redfin business owner sell home directly redfin all-cash offer also help build broad suite tool engage people phase home ownership settled actively looking sell grow diverse expertise working website mobile apps make experience flawless across platform really developer think like end user know 90 done half done build rock-solid code withstand million user hammering least 0-2 year development experience belt comfortable learning new technology tool dream way improve upon status quo vision beautiful user experiencesand new performant way building themdrive decision-making disagree disagree constructively respect everyone else 's opinion idea anything share passion mission radically change way people make one biggest decision life technology use teach website mobile apps built java aws kafka javascript react swift various tool library deploy continuously use intellij bazel git stash offer support resource continue learning brilliant team collaborate office downtown seattle close action commitment career grow company management team ha experience building startup profitable publicly traded company get far responsibility big company time far le stress find 2 person garage startup amazingly smart fun teammate collaborate 'll see fruit labor released web every day 'll share joy hear back customer blogger national medium redfin equal opportunity employer
Java Developer,"coding aware and knowledge on core &adv java ,spring boot,rest, angular. job type: full-time salary: 200,000.00 - 400,000.00 per year schedule: day shift experience: .net: 1 year (preferred) total work: 1 year (preferred) java: 1 year (preferred) angular / node js: 1 year (preferred) education: bachelor's (preferred) benefits: health insurance provident fund (pf) paid leaves / leave encashment meal card / food coupons work from home industry: software development"
DevOps Engineer,"********************************* devops engineer bangalore, india sndk big data platforms & analytics (g&a) sandisk india ddc pvt ltd jr-0000059266 western digital we deliver the possibilities of data. you define whats possible. job description : essential duties and responsibilities: work in global support and engineering team to operate our global hybrid cloud - big data platform edge and core environments respond and resolve system events coming from global infrastructure write scripts to automate routine operational tasks perform application deployment of container applications to edge platform infrastructure using ci/cd workflow tooling document common work tasks to be added to shared knowledge base troubleshoot, debug and upgrade cloud platform application work closely with key users to deploy applications and support processes in the hybrid cloud infrastructure train new team members on big data platform edge environments and transfer operational knowledge to new members document and publish requirements, specifications, operation processes etc. qualifications required: bachelors degree in computer science / information technology/computer information systems or relevant working experience in it field 7+ years of overall professional working experience with 2-3 years experience in linux systems administration 2+ years experience in aws scripting skills; bash and/or perl familiar with tcp/ip experience writing automation in ansible, terraform and/or cloud formation experience with docker or kubernetes experience with ci/cd tooling such as jenkins, git, artifactory, spinnaker strong troubleshooting skills with an appetite to learn new things excellent communication, facilitation, and interpersonal relations skills self-starter and must be able to execute job tasks with minimal supervision. preferred: certification in kubernetes certification in one of the following cloud providers; aws, gcp, azure experience with monitoring/alerting packages such as prometheus & grafana software development skills; python, java, go, node.js, react familiar with big data, data analytics & machine learning theories about western digital the future. its on you. you & western digital. weve been storing the worlds data for more than 50 years. once, it was the most important thing we could do for data. now were helping the world capture, preserve, access and transform data in a way only we can. the most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data. but we cant do it alone. todays exceptional data challenges require your exceptional skills. its you & us. together, were the next big thing in data. western digital data-centric solutions are found under the g-technology, hgst, sandisk, upthere, and wd brands. ********************************************************** #di_it58266"
